Query ID,Textbook Name,Query,query type,Ground Truth: [] means all pages in sequence,Cosine Output: set of top 3 pages,Dot output,Euclidean Output,Manhattan Output,Reason,Reason cosine output,,,,,,,,,,,,,,,,,,,
CP-1,Artificial Intelligence a Modern Approach,How do uninformed and informed search strategies differ in problem-solving,conceptual,"([89, 91],  [97, 99], [105, 109] 
)","t3= (7,97,89)","t3 = (7,97,89)","[104,97,89]","[97,97,89]","Definition and key characteristics of uninformed search strategies, including breadth-first and depth-first search 
Introduction to informed search and heuristic-based approaches for efficient problem-solving 
Comparative analysis of uninformed vs. informed search in terms of time complexity, space complexity, and optimality",,,,,,,,,,,,,,,,,,,,
CP-2,Artificial Intelligence a Modern Approach,what is heuristic evaluation,conceptual,"(
[98, 101], 
[106, 110], 
[114, 118] 
)","t3 = (169, 186, 110)","t3 = (169,186,110)","(169,383,110]","[169,169,186]","Definition and importance of heuristic evaluation in search algorithms 
How heuristic evaluation improves efficiency in problem-solving and informed search 
Comparative analysis of heuristic functions and their impact on search performance",,,,,,,,,,,,,,,,,,,,
CP-3,Artificial Intelligence a Modern Approach,What are the fundamental differences between propositional logic and first-order logic in AI reasoning,conceptual,"(
[265, 267], 
[273, 277], 
[283, 287] 
)","t3 = (267,259,265)","t3 = (267,259,265)","[259,244,267]","[259,259,8]","Comparison of propositional logic and first-order logic in terms of expressiveness and representation 
How first-order logic extends propositional logic by incorporating objects, relations, and quantifiers 
Advantages and limitations of both logics in AI reasoning and knowledge representation",,,,,,,,,,,,,,,,,,,,
CP-4,Cooks Illustrated Annual 2019 recipes,How does moisture leaving the meat affect the cooking process and the texture of the final dish,conceptual,"(
[4, 6], 
[7, 9], 
[12, 14]
)","t3 = (72,4,101)","t3 = (72,4,101)","[72,73,78]","[4,72,101]","Discusses how the release of moisture from marinated meat into a hot pan can cause splattering and affect browning.
Covers how ground beef loses moisture during cooking, leading to dryness, and how using a baking soda solution helps retain moisture for a tender texture.
Explains how steak releases juices while grilling, and how keeping some fat on the meat creates flare-ups that contribute to smoky grill flavor.",,,,,,,,,,,,,,,,,,,,
CP-5,Cooks Illustrated Annual 2019 recipes,What are the key differences between cooking on a charcoal grill versus a gas grill,conceptual,"( 
[27, 29], 
[32, 34], 
[37, 39] 
)","t3 = (16,27,19)","t3 = (16,27,19)","[16,19,27]","[27,60,80]","Covers direct vs. indirect heat and how charcoal provides smoky flavors
Explains why charcoal enhances flavor through fat drippings, while gas grilling is more convenient
Discusses temperature control, fuel efficiency, and cooking differences between gas and charcoal",,,,,,,,,,,,,,,,,,,,
CP-6,Cooks Illustrated Annual 2019 recipes,What role does vinegar play in post-cooking marinades ,conceptual,"( 
[18, 20], 
[21, 23], 
[28, 30] 
)","t3 = (9,19,29)","t3 = (9,19,29)",,,"Describes how vinegar-based vinaigrette balances the richness of grilled pork ribs. 
Explains how acidity from vinegar enhances flavor without overpowering the meat.
Covers how vinegar in marinades improves moisture retention and balances seasoning.",,,,,,,,,,,,,,,,,,,,
CP-7,"Introduction to Automata Theory, Languages, and Computation",What are the fundamental differences between deterministic and nondeterministic finite automata,conceptual,"( 
[68, 71], 
[76, 80], 
[86, 89] 
)","t3 = (108,96,73)","t3 = (108,96,73)","[108,96,73]","[96,82,73]","Introduction to deterministic and nondeterministic finite automata (DFA & NFA)
Formal definitions and examples of DFA and NFA
Equivalence of DFA and NFA, subset construction",,,,,,,,,,,,,,,,,,,,
CP-8,"Introduction to Automata Theory, Languages, and Computation",How do polynomial-time reductions help classify NP-complete problems,conceptual,"(
[476, 479], 
[484, 488], 
[500, 502] 
)","t3 = (450,502,451)","[450,502,451]","[450,502,451]","[450,450,502]","Introduction to polynomial-time reductions and their role in complexity theory 
Formal definition and explanation of polynomial-time reductions 
Application of reductions in proving NP-completeness",,,,,,,,,,,,,,,,,,,,
CP-9,Operating System Concepts,What is preemptive scheduling and how does it differ from non-preemptive scheduling,conceptual,"(
[269, 271], 
[317, 319],
[345, 347]
)","t3 = (269,318,1221)",,,,"Introduces preemptive vs. non-preemptive scheduling and decision-making scenarios. 
Discusses advantages, disadvantages, and practical use in modern OS scheduling.",,,,,,,,,,,,,,,,,,,,
CP-10,Operating System Concepts,What role do consistency models play in distributed file systems,conceptual,"(
[410,412],
[895, 897], 
[905, 907],
)","t3=(1201,905,pcd-193)",,,,"Discusses challenges in distributed file systems, including scalability, consistency, and fault tolerance. 
Covers different consistency models and approaches to maintaining file consistency.","193- Page discusses RPC semantics, fault tolerance, and “exactly-once” execution, which are key challenges in distributed systems and are handled through consistency and reliability models.",,,,,,,,,,,,,,,,,,,
